id,text,clean_text,tokens,tokens_without_stopwords,stemmed_tokens
AH-y26wXgTIAH0YY04AC0F,"wkkwwk padahal iklan bisa dinonaktifkan 


Kecuali app download dari play store karna memang ada iklan dari appnya bukan karna brand hapenya",wkkwwk padahal iklan bisa dinonaktifkan kecuali app download dari play store karna memang ada iklan dari appnya bukan karna brand hapenya,"['wkkwwk', 'padahal', 'iklan', 'bisa', 'dinonaktifkan', 'kecuali', 'app', 'download', 'dari', 'play', 'store', 'karna', 'memang', 'ada', 'iklan', 'dari', 'appnya', 'bukan', 'karna', 'brand', 'hapenya']","['wkkwwk', 'iklan', 'dinonaktifkan', 'kecuali', 'app', 'download', 'play', 'store', 'karna', 'iklan', 'appnya', 'karna', 'brand', 'hapenya']","['wkkwwk', 'iklan', 'nonaktif', 'kecuali', 'app', 'download', 'play', 'store', 'karna', 'iklan', 'appnya', 'karna', 'brand', 'hapenya']"
AH-y26wXgTIAH0Zky3F8TA,Namanya juga poco,namanya juga poco,"['namanya', 'juga', 'poco']","['namanya', 'poco']","['nama', 'poco']"
AH-y26wXgTIAH0_1CvOKdH,😂😂,,[],[],[]
AH-y26wXgTIAH0_Posocl-,klo misalnya 8jtan masih wajarlah dgn spek gitu ada iklan,klo misalnya jtan masih wajarlah dgn spek gitu ada iklan,"['klo', 'misalnya', 'jtan', 'masih', 'wajarlah', 'dgn', 'spek', 'gitu', 'ada', 'iklan']","['klo', 'jtan', 'wajarlah', 'dgn', 'spek', 'gitu', 'iklan']","['klo', 'jtan', 'wajar', 'dgn', 'spek', 'gitu', 'iklan']"
AH-y26wXgTIAH0_QhyxSAD,Yang ngeluh ada iklan pasti ga pake hp xiaomi wkwk,yang ngeluh ada iklan pasti ga pake hp xiaomi wkwk,"['yang', 'ngeluh', 'ada', 'iklan', 'pasti', 'ga', 'pake', 'hp', 'xiaomi', 'wkwk']","['ngeluh', 'iklan', 'pake', 'xiaomi']","['ngeluh', 'iklan', 'pake', 'xiaomi']"
AH-y26wXgTIAH0_pOY441j,under 10jt dapet naga 8 elite ga heran?? masa diliat iklan nya doang,under jt dapet naga elite ga heran masa diliat iklan nya doang,"['under', 'jt', 'dapet', 'naga', 'elite', 'ga', 'heran', 'masa', 'diliat', 'iklan', 'nya', 'doang']","['under', 'dapet', 'naga', 'elite', 'heran', 'diliat', 'iklan', 'doang']","['under', 'dapet', 'naga', 'elite', 'heran', 'liat', 'iklan', 'doang']"
AH-y26wXgTIAH0bYsutCIK,Mahal:face-purple-crying:,mahalfacepurplecrying,['mahalfacepurplecrying'],['mahalfacepurplecrying'],['mahalfacepurplecrying']
AH-y26wXgTIAH0bdVtqQNq,Tpi di harga segitu ad g merek lain ksih spek segahar itu...??,tpi di harga segitu ad g merek lain ksih spek segahar itu,"['tpi', 'di', 'harga', 'segitu', 'ad', 'g', 'merek', 'lain', 'ksih', 'spek', 'segahar', 'itu']","['tpi', 'harga', 'segitu', 'merek', 'ksih', 'spek', 'segahar']","['tpi', 'harga', 'segitu', 'merek', 'ksih', 'spek', 'gahar']"
AH-y26wXgTIAH0cI-dfYTz,"​@@sandypratama1790-c3ytampa iklan dgn spek sgtu mungkin harganya bisa diatas 10 jt. Iklan dixiaomi itu untuk menekan harga, lihat aja samsung spek jauh dibawah tpi harga jauh diatas",sandypratamacytampa iklan dgn spek sgtu mungkin harganya bisa diatas jt iklan dixiaomi itu untuk menekan harga lihat aja samsung spek jauh dibawah tpi harga jauh diatas,"['sandypratamacytampa', 'iklan', 'dgn', 'spek', 'sgtu', 'mungkin', 'harganya', 'bisa', 'diatas', 'jt', 'iklan', 'dixiaomi', 'itu', 'untuk', 'menekan', 'harga', 'lihat', 'aja', 'samsung', 'spek', 'jauh', 'dibawah', 'tpi', 'harga', 'jauh', 'diatas']","['sandypratamacytampa', 'iklan', 'dgn', 'spek', 'sgtu', 'harganya', 'diatas', 'iklan', 'dixiaomi', 'menekan', 'harga', 'lihat', 'samsung', 'spek', 'dibawah', 'tpi', 'harga', 'diatas']","['sandypratamacytampa', 'iklan', 'dgn', 'spek', 'sgtu', 'harga', 'atas', 'iklan', 'dixiaomi', 'tekan', 'harga', 'lihat', 'samsung', 'spek', 'bawah', 'tpi', 'harga', 'atas']"
AH-y26wXgTIAH0cN17Rknl,​@@payback-m7niqoo 13 waktu awal rilis harga berapa?,paybackmniqoo waktu awal rilis harga berapa,"['paybackmniqoo', 'waktu', 'awal', 'rilis', 'harga', 'berapa']","['paybackmniqoo', 'rilis', 'harga']","['paybackmniqoo', 'rilis', 'harga']"
